            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.258657      0.362323     0.0239196     0.0442272     0.0463249    0.00252819     -0.119422             0      0.545657      0.225649     -0.320008      0.463819
      0.165361      0.232856     0.0099729     0.0191627      0.024038   0.000466669     -0.113569  -1.26134e-13      0.332381     0.0669363     -0.265444      0.152865
     0.0602611     0.0848887    0.00312593    0.00685083     0.0126979   5.67053e-05    -0.0457036   1.28344e-13      0.112016      0.044375    -0.0676406     0.0327698
    0.00376592    0.00532018   6.53766e-05   0.000236128   0.000457376   6.00306e-08    -0.0016835  -2.91295e-14     0.0107471    0.00544881   -0.00529832   0.000133632
    0.00208161    0.00293652   3.74762e-05   0.000204173   0.000357457   4.30911e-08    -0.0015426  -1.99946e-14    0.00432213     0.0038583  -0.000463837   2.49218e-05
   0.000405337   0.000540423   2.96703e-05   0.000188837   0.000315239   3.65396e-08  -0.000226978  -1.48084e-14   0.000733527   0.000393389  -0.000340138   3.72069e-06
   0.000366069   0.000486191   2.62968e-05   0.000175898   0.000291982   3.16315e-08  -0.000195705  -1.29065e-14   0.000638732   0.000324425  -0.000314307   3.10451e-06
    0.00033793   0.000448056   2.50287e-05   0.000164354   0.000272597   2.76386e-08  -0.000175441  -1.19668e-14   0.000578688   0.000286582  -0.000292105   2.71483e-06
   0.000311275   0.000411953   2.37404e-05   0.000153346   0.000254211   2.40786e-08  -0.000156174  -1.11356e-14   0.000520284   0.000251955  -0.000268329   2.36694e-06
   0.000286217   0.000378035   2.24255e-05   0.000142924   0.000236847   2.09301e-08  -0.000138065  -1.03656e-14   0.000464693   0.000220973   -0.00024372   2.05702e-06
   0.000266262   0.000351432   2.11962e-05   0.000133557     0.0002213   1.82867e-08  -0.000126246  -9.69704e-15   0.000426801   0.000202226  -0.000224574   1.80124e-06
   0.000247111   0.000325854   1.99343e-05   0.000124699   0.000206584   1.59471e-08  -0.000114741  -9.05097e-15   0.000389483   0.000184386  -0.000205097   1.57151e-06
   0.000228866    0.00030145   1.86935e-05    0.00011635   0.000192718   1.38868e-08  -0.000103612  -8.43731e-15   0.000353186   0.000167003  -0.000186183   1.36767e-06
   0.000211709   0.000278505   1.73943e-05   0.000108508   0.000179713   1.20766e-08  -9.34517e-05   -7.8428e-15   0.000320946   0.000148722  -0.000172224   1.18702e-06
   0.000195602   0.000256963   1.63094e-05   0.000101118   0.000167447   1.04908e-08  -8.35649e-05  -7.32314e-15   0.000289246   0.000129004  -0.000160242   1.02963e-06
   0.000182519   0.000239701   1.53297e-05   9.45252e-05   0.000156529   9.17001e-09  -7.72047e-05  -6.85784e-15   0.000268234    0.00012008  -0.000148154   9.01407e-07
   0.000169946   0.000223074    1.4351e-05   8.82903e-05   0.000146192   8.00112e-09  -7.09015e-05  -6.40397e-15   0.000247009   0.000110427  -0.000136582   7.86481e-07
   0.000157966    0.00020721   1.34234e-05   8.24031e-05   0.000136433   6.97045e-09  -6.48266e-05  -5.98414e-15    0.00022662   9.98355e-05  -0.000126785   6.84021e-07
   0.000146757   0.000192376    1.2526e-05   7.68733e-05   0.000127263   6.06641e-09  -5.92396e-05  -5.57919e-15   0.000208601   9.17801e-05  -0.000116821   5.94591e-07
   0.000136172   0.000178357   1.16742e-05   7.16797e-05   0.000118655   5.27427e-09  -5.37928e-05  -5.19614e-15   0.000190734   8.37556e-05  -0.000106978   5.16399e-07
   0.000127389   0.000166856   1.09603e-05   6.70463e-05    0.00011099   4.61533e-09  -5.02375e-05  -4.86932e-15   0.000178544   7.85653e-05  -9.99786e-05   4.52628e-07
