            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0472435     0.0642056     0.0172621    0.00660049     0.0180123   0.000341545    0.00744816             0      0.040061     0.0332981   -0.00676286      0.041915
     0.0149848     0.0210374    0.00219493    0.00130309    0.00189609   6.51577e-06    0.00317122  -4.06479e-13     0.0131906    0.00971742   -0.00347315    0.00485289
    0.00206845      0.002898   0.000206534   0.000340435   0.000541185   1.58552e-07  -0.000676929   -5.9237e-10     0.0057812    0.00288841   -0.00289278   8.40233e-05
   8.47087e-05   0.000102932   4.33452e-05   4.33273e-05   8.47068e-05   3.75606e-09  -2.02777e-07    1.0794e-10   2.80861e-07   2.27745e-07  -5.31157e-08   7.17289e-07
   4.67971e-05   5.67799e-05   2.16912e-05   2.61815e-05   4.53164e-05   1.15598e-09   4.71606e-06   -1.2902e-09   1.88189e-05   1.26276e-05  -6.19134e-06   2.50688e-07
   4.12223e-05    4.9953e-05   1.89247e-05   2.33475e-05   4.01239e-05   9.03252e-10   4.07678e-06  -1.52015e-09   1.47198e-05   9.83844e-06  -4.88135e-06   1.95194e-07
   3.63011e-05   4.39214e-05   1.66927e-05   2.06835e-05   3.55101e-05   7.06452e-10       3.6e-06  -1.56898e-09   1.21421e-05   7.74732e-06   -4.3948e-06   1.51854e-07
   3.18583e-05   3.84774e-05   1.47013e-05   1.82556e-05   3.13284e-05   5.49395e-10   3.19106e-06  -1.52222e-09   1.02616e-05   6.12768e-06  -4.13393e-06   1.17624e-07
   2.79419e-05   3.37114e-05   1.29221e-05   1.60644e-05     2.756e-05   4.25044e-10    2.8065e-06   -1.4288e-09   8.68518e-06    5.0112e-06  -3.67399e-06   9.07643e-08
   2.46813e-05   2.97654e-05   1.14214e-05   1.42094e-05   2.43719e-05   3.32356e-10   2.53847e-06  -1.34656e-09   7.65411e-06   4.32895e-06  -3.32516e-06   7.08848e-08
   2.17393e-05   2.62059e-05   1.00702e-05   1.25314e-05   2.14923e-05   2.58444e-10   2.26498e-06  -1.24779e-09   6.65839e-06   3.70305e-06  -2.95534e-06   5.50759e-08
   1.90982e-05   2.30113e-05   8.85816e-06   1.10224e-05    1.8905e-05    1.9996e-10   1.98765e-06  -1.13521e-09   5.69466e-06    3.1221e-06  -2.57256e-06   4.25877e-08
   1.68913e-05   2.03493e-05    7.8367e-06   9.75306e-06   1.67271e-05   1.56536e-10     1.793e-06  -1.05201e-09   5.03375e-06   2.73283e-06  -2.30092e-06   3.33243e-08
   1.48987e-05   1.79461e-05   6.91608e-06   8.60521e-06   1.47599e-05   1.21882e-10   1.60662e-06  -9.60781e-10   4.44121e-06   2.38965e-06  -2.05156e-06   2.59357e-08
   1.31051e-05   1.57816e-05   6.08942e-06   7.57269e-06   1.29912e-05   9.44266e-11   1.40947e-06  -8.66627e-10   3.80771e-06   2.03688e-06  -1.77083e-06   2.00851e-08
   1.16013e-05   1.39708e-05   5.39144e-06   6.70304e-06   1.15003e-05   7.39983e-11   1.27444e-06  -7.98664e-10   3.38676e-06   1.80637e-06  -1.58039e-06   1.57323e-08
   1.02407e-05   1.23318e-05    4.7612e-06   5.91618e-06   1.01522e-05   5.76701e-11   1.13973e-06  -7.25641e-10   2.98632e-06   1.58873e-06  -1.39759e-06   1.22564e-08
   9.01533e-06   1.08553e-05   4.19425e-06   5.20804e-06   8.93911e-06   4.47154e-11    1.0061e-06  -6.48823e-10   2.60532e-06   1.38306e-06  -1.22226e-06   9.50063e-09
   7.98869e-06   9.62011e-06   3.71613e-06   4.61327e-06   7.91887e-06   3.50919e-11   9.14168e-07  -5.94605e-10    2.3487e-06   1.24439e-06  -1.10431e-06   7.45353e-09
   7.05806e-06   8.49988e-06   3.28368e-06   4.07453e-06   6.99519e-06   2.73844e-11    8.2114e-07  -5.37983e-10   2.09541e-06   1.10811e-06  -9.87291e-07   5.81537e-09
    6.2185e-06   7.48874e-06   2.89414e-06   3.58919e-06   6.16309e-06   2.12583e-11    7.2789e-07  -4.79811e-10   1.84662e-06   9.75016e-07    -8.716e-07   4.51395e-09
