            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.104431      0.146702     0.0100363     0.0137663     0.0170794   0.000290236     0.0141833             0      0.115104     0.0799387    -0.0351655      0.101127
     0.0691558     0.0977234    0.00254398    0.00295419    0.00296338   1.51991e-05    0.00619565   1.07076e-11     0.0262586     0.0219389   -0.00431978     0.0351193
     0.0164752     0.0232933   0.000352256     0.0004059   0.000323158   2.88839e-07  -0.000223619   -2.5472e-11     0.0200423    0.00927014    -0.0107722     0.0019707
   0.000378606   0.000534629   6.95211e-06   2.84465e-05    2.8745e-05   8.57536e-10    9.0808e-06  -1.02522e-09    0.00132547   0.000662295  -0.000663178   1.55826e-06
    7.2615e-05   0.000101999   1.70368e-06    1.1795e-05   1.53267e-05   1.42024e-10   7.10116e-06  -7.52637e-10   0.000303174   0.000142372  -0.000160803    7.8374e-08
   1.96895e-05   2.16413e-05   2.39787e-06   1.73568e-05   1.96437e-05   3.07007e-10  -4.86914e-08  -1.35716e-09   3.18697e-06   1.65413e-06  -1.53284e-06   4.55087e-08
   1.55997e-05   1.74374e-05    1.1633e-06   1.34642e-05   1.52175e-05   1.82637e-10  -9.44277e-09  -1.60314e-09   6.79995e-06   3.53793e-06  -3.26202e-06   2.59678e-08
   1.60947e-05   1.91082e-05   9.40705e-07   1.23318e-05   1.36436e-05   1.52958e-10   2.22594e-08   9.48284e-10   9.94322e-07   5.94119e-07  -4.00203e-07   2.09053e-08
   1.25537e-05   1.38495e-05   5.61121e-07   1.10935e-05   1.23576e-05   1.23381e-10   1.07914e-09   1.29766e-10   1.32561e-06   6.17652e-07  -7.07956e-07   1.69353e-08
   1.18563e-05   1.31641e-05   3.41199e-07   1.03795e-05   1.15282e-05   1.07851e-10   1.57224e-07   5.64591e-09   4.79213e-07   2.61161e-07  -2.18051e-07   1.47789e-08
   1.09694e-05   1.21087e-05   3.27791e-07   9.69166e-06   1.08031e-05   9.40357e-11   8.24452e-08   2.83779e-09   9.28964e-07   6.11227e-07  -3.17736e-07   1.30055e-08
   1.02471e-05   1.12572e-05   2.11832e-07   9.12347e-06   1.01657e-05   8.32825e-11   5.20889e-08   1.78106e-09   4.08419e-07   3.10414e-07  -9.80045e-08   1.14975e-08
   9.57948e-06   1.04877e-05    2.3436e-07   8.57237e-06   9.57291e-06   7.35404e-11   3.33214e-08   1.18507e-09    7.4358e-07   4.49128e-07  -2.94452e-07   1.02009e-08
   9.06251e-06   9.94536e-06    1.8566e-07   8.08167e-06   9.02457e-06   6.53479e-11   2.31326e-08   9.17875e-10   1.05252e-06   5.85228e-07  -4.67288e-07   9.06567e-09
   8.56904e-06   9.43475e-06   1.98342e-07   7.60282e-06   8.50236e-06   5.78422e-11   1.08496e-08      5.81e-10    1.1076e-07   1.68187e-08  -9.39413e-08   8.07108e-09
    8.0347e-06   8.81611e-06   1.88388e-07   7.16615e-06   8.01884e-06   5.13891e-11   1.44533e-08   5.17157e-10   3.37257e-07   2.14679e-07  -1.22578e-07    7.1647e-09
   7.57762e-06   8.31896e-06   1.41804e-07   6.75393e-06   7.55909e-06   4.56357e-11   1.41606e-08   4.88027e-10   1.74599e-07   1.31518e-07  -4.30803e-08   6.37681e-09
    7.1671e-06   7.88032e-06   1.61835e-07   6.37252e-06   7.13381e-06   4.06352e-11   1.38365e-08   4.83089e-10   8.34135e-08   1.80605e-08   -6.5353e-08   5.67997e-09
   6.75336e-06   7.42253e-06   1.13334e-07   6.00907e-06   6.72831e-06   3.61218e-11   1.09338e-08   3.74818e-10   4.28432e-07   2.51063e-07  -1.77369e-07   5.05612e-09
   6.39704e-06   7.04705e-06   1.41459e-07   5.67128e-06   6.35207e-06   3.21834e-11   8.43461e-09    2.8517e-10    1.5882e-07   4.73763e-08  -1.11444e-07   4.50791e-09
   6.01222e-06   6.60409e-06   1.02749e-07   5.35434e-06   5.99489e-06   2.86795e-11   1.07152e-08   3.67656e-10   2.33609e-07   1.50297e-07  -8.33118e-08   4.01372e-09
