            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.104431      0.146702     0.0100363     0.0137663     0.0170794   0.000290236     0.0141833             0      0.115104     0.0799387    -0.0351655      0.101127
     0.0690679      0.097599    0.00254219    0.00295261    0.00296271   1.51807e-05    0.00619385  -8.71739e-12     0.0264331     0.0220458   -0.00438729     0.0350514
     0.0164409     0.0232447   0.000353773   0.000403703   0.000319511   2.88131e-07  -0.000379638   2.95781e-11     0.0199444    0.00945496    -0.0104894    0.00196277
   0.000430625   0.000608243   5.67075e-06    2.9725e-05   3.03494e-05   9.15734e-10   1.35428e-05  -7.74932e-11    0.00136294   0.000679262  -0.000683678   1.87926e-06
   0.000180998   0.000255557   3.48806e-06   1.41144e-05   1.80273e-05   2.11382e-10   1.24478e-05   -1.9363e-10   0.000522927   0.000246585  -0.000276341   3.00158e-07
   0.000137026   0.000193342   3.64892e-06   1.25736e-05   1.57428e-05   1.71409e-10    7.7605e-06  -2.35892e-09   9.97827e-05   3.81663e-05  -6.16164e-05   1.50454e-07
   0.000131533   0.000185642   3.50471e-06   1.12582e-05    1.4318e-05    1.3903e-10   4.52086e-06  -1.43394e-09   2.38079e-05   5.17318e-06  -1.86347e-05    1.3478e-07
    0.00012712    0.00017944   3.34885e-06   1.04453e-05   1.29838e-05   1.20319e-10    2.7051e-06  -6.69991e-10   8.97815e-06   3.73652e-07   -8.6045e-06   1.23305e-07
   0.000124071   0.000175181   3.20738e-06   9.39547e-06   1.17654e-05   9.85621e-11   3.39649e-06  -7.35555e-10   1.36243e-05   4.73784e-06  -8.88651e-06   1.15342e-07
   0.000117977   0.000166582   3.05042e-06   8.84891e-06   1.08886e-05   8.76083e-11   2.32042e-06  -4.12125e-10    7.9211e-06   2.08039e-06  -5.84071e-06   1.03454e-07
    0.00011563   0.000163289   2.98053e-06   8.25139e-06   1.01018e-05    7.6969e-11   2.41186e-06  -3.99273e-10   9.09355e-06   2.98365e-06  -6.10991e-06   9.80761e-08
   0.000112672   0.000159126   2.90893e-06   7.77712e-06   9.41108e-06   6.89454e-11   1.79512e-06  -3.35004e-10   6.14145e-06   1.44803e-06  -4.69342e-06   9.22588e-08
   0.000109962   0.000155313   2.83275e-06   7.28032e-06   8.77106e-06   6.10275e-11   1.68328e-06  -3.78194e-10   6.18365e-06   1.62648e-06  -4.55716e-06   8.71366e-08
   0.000106302   0.000150152   2.74585e-06   6.87008e-06   8.20931e-06   5.47376e-11   1.18787e-06  -2.69293e-10   3.90128e-06   2.92379e-07   -3.6089e-06   8.09799e-08
   0.000102708   0.000145083   2.65323e-06   6.47212e-06    7.6966e-06    4.8928e-11   9.19791e-07   -2.1018e-10   3.08535e-06   1.31362e-07  -2.95398e-06   7.52024e-08
   9.86082e-05   0.000139296   2.55071e-06   6.09923e-06   7.21531e-06   4.37067e-11   5.92771e-07  -1.34545e-10   2.55894e-06    3.4987e-07  -2.20907e-06   6.90635e-08
   9.40174e-05   0.000132814   2.43668e-06   5.75641e-06   6.77872e-06   3.90737e-11   3.55238e-07    -7.842e-11   2.85085e-06   9.32613e-07  -1.91823e-06   6.26281e-08
   9.08051e-05   0.000128281    2.3574e-06   5.44054e-06   6.36707e-06   3.51568e-11   9.83294e-08  -1.69299e-11   2.46862e-06   1.25586e-06  -1.21276e-06   5.81688e-08
    8.7546e-05   0.000123681   2.27186e-06   5.13524e-06   5.98135e-06    3.1532e-11  -1.20387e-07   7.90277e-12   2.42031e-06   1.61037e-06  -8.09938e-07   5.38628e-08
   8.33693e-05   0.000117782   2.17473e-06   4.85592e-06   5.62629e-06   2.83094e-11  -1.34709e-07   1.61227e-11   2.30357e-06   1.50651e-06   -7.9706e-07   4.87594e-08
    7.9467e-05   0.000112271   2.07143e-06   4.57676e-06   5.28611e-06   2.52375e-11   -2.7106e-07   2.94688e-11   2.29349e-06   1.76314e-06  -5.30348e-07   4.42177e-08
