            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
        0.2296      0.322965     0.0152399     0.0298942     0.0341916    0.00112592     -0.109357   2.69199e-13      0.491237      0.162297      -0.32894      0.393647
      0.222081      0.313496     0.0105215     0.0157921      0.019263   0.000360093    -0.0991342  -0.000299013      0.381562      0.108631     -0.272932      0.350475
      0.209576      0.296201    0.00619232     0.0083974     0.0111065   0.000108861     -0.086811  -0.000288562       0.24707     0.0307026     -0.216367      0.276598
      0.176092      0.248926    0.00501459    0.00528423    0.00461627   5.30691e-05    -0.0422379  -0.000507709      0.182318     0.0423822     -0.139935      0.204013
      0.108921      0.153991    0.00266557     0.0027323    0.00179691   1.45707e-05    -0.0117599  -0.000120075     0.0312392    0.00075409    -0.0304851     0.0776608
     0.0762772      0.107837    0.00204361    0.00183319   0.000216788   7.53694e-06   -0.00442993   0.000182594      0.028567    0.00805343    -0.0205136     0.0380999
     0.0401742     0.0567973    0.00105142   0.000942822   4.97479e-05    1.9944e-06   -0.00163364   0.000103153    0.00551782    0.00214577   -0.00337205     0.0105424
     0.0061466    0.00869053   0.000141825   0.000126523   1.80368e-05   3.61223e-08  -9.35945e-05  -6.49628e-06    0.00759494    0.00418626   -0.00340867   0.000262681
   6.42485e-05   8.89027e-05   1.52558e-06    1.8701e-05   2.31803e-05   3.52054e-10   3.39354e-06  -6.05007e-08   0.000202618   0.000102378   -0.00010024   8.33545e-08
   2.03384e-05   2.13776e-05   1.54536e-06   1.91809e-05   2.03037e-05   3.70296e-10    5.4229e-09  -2.71103e-09   9.74791e-08   6.73141e-08   -3.0165e-08   2.56218e-08
   1.78758e-05   1.95556e-05   8.30769e-07   1.59993e-05   1.78364e-05   2.56669e-10  -2.40671e-07   1.28012e-07   7.03238e-07   4.53614e-07  -2.49624e-07   1.95515e-08
   1.62433e-05   1.81676e-05   5.50429e-07   1.40473e-05   1.61948e-05   1.97629e-10  -2.28646e-07    1.2177e-07   6.62614e-07   4.35241e-07  -2.27372e-07   1.59802e-08
   1.51938e-05   1.71662e-05   5.59602e-07   1.29115e-05   1.51473e-05   1.67021e-10  -2.19555e-07   1.16853e-07   6.26304e-07   3.81532e-07  -2.44773e-07   1.36931e-08
   1.45319e-05   1.64628e-05   5.99647e-07   1.22868e-05    1.4495e-05   1.51325e-10   -2.1294e-07   1.13287e-07   6.01565e-07   3.20714e-07  -2.80851e-07    1.2358e-08
   1.39223e-05   1.58039e-05   5.58083e-07   1.17298e-05   1.39012e-05   1.37901e-10  -2.03839e-07   1.08287e-07   5.77004e-07   2.40512e-07  -3.36492e-07   1.12336e-08
   1.32285e-05   1.50025e-05    7.1889e-07   1.11533e-05   1.32067e-05   1.24914e-10  -1.69561e-07   9.00399e-08   5.43324e-07   1.19362e-07  -4.23962e-07   1.00052e-08
   1.24112e-05   1.40786e-05   5.13624e-07   1.04692e-05   1.23618e-05   1.09869e-10  -1.66696e-07   8.85207e-08   4.69311e-07   2.39155e-07  -2.30156e-07   9.00333e-09
   1.17932e-05   1.33209e-05   4.20341e-07   1.00269e-05    1.1724e-05   1.00715e-10  -1.60191e-07   8.50114e-08   4.50546e-07   2.26834e-07  -2.23712e-07   8.34083e-09
    1.1337e-05   1.27529e-05   3.86558e-07   9.70912e-06   1.12692e-05   9.44165e-11  -1.51732e-07   8.05242e-08   4.26969e-07   2.15244e-07  -2.11725e-07   7.83783e-09
   1.09272e-05   1.22528e-05   3.63767e-07   9.40966e-06   1.08753e-05   8.86741e-11  -1.37904e-07   7.32183e-08   3.88514e-07   1.94802e-07  -1.93712e-07   7.36659e-09
   1.05705e-05   1.18434e-05   3.45627e-07   9.11514e-06   1.05321e-05   8.32053e-11  -1.23763e-07   6.57151e-08   3.48744e-07   1.72961e-07  -1.75782e-07   6.91822e-09
