            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.296727      0.417515     0.0219816      0.035948     0.0530941    0.00177545     -0.133134             0       1.19718      0.837097     -0.360085      0.940982
      0.296727      0.417515     0.0219816      0.035948     0.0530941    0.00177545     -0.133134             0       1.19718      0.837097     -0.360085      0.940982
       0.29005      0.408837     0.0191402     0.0272838     0.0399609    0.00111075     -0.140607  -1.84622e-12      0.964632       0.61075     -0.353882      0.827772
      0.292816      0.412774     0.0196905     0.0266936     0.0402773    0.00110026     -0.139092  -1.59258e-12      0.853793      0.467758     -0.386035      0.817254
      0.288525      0.406488     0.0219417     0.0279082     0.0434275    0.00126031     -0.122184  -7.95664e-13      0.799339      0.427415     -0.371925      0.841708
       0.26244       0.36992      0.017588     0.0244817     0.0412179   0.000908689     -0.109248  -5.64816e-14      0.615526      0.300887     -0.314639      0.702158
      0.230044      0.324014      0.016435     0.0241973     0.0419363   0.000855619    -0.0946292  -1.05583e-13      0.459124      0.199358     -0.259766      0.596757
      0.216638      0.304868     0.0165293     0.0254257     0.0442484   0.000919681    -0.0896588  -1.07134e-13      0.424565      0.167684      -0.25688      0.549011
      0.296727      0.417515     0.0219816      0.035948     0.0530941    0.00177545     -0.133134             0       1.19718      0.837097     -0.360085      0.940982
       0.29005      0.408837     0.0191402     0.0272838     0.0399609    0.00111075     -0.140607  -1.84622e-12      0.964632       0.61075     -0.353882      0.827772
      0.292816      0.412774     0.0196905     0.0266936     0.0402773    0.00110026     -0.139092  -1.59258e-12      0.853793      0.467758     -0.386035      0.817254
      0.288525      0.406488     0.0219417     0.0279082     0.0434275    0.00126031     -0.122184  -7.95664e-13      0.799339      0.427415     -0.371925      0.841708
       0.26244       0.36992      0.017588     0.0244817     0.0412179   0.000908689     -0.109248  -5.64816e-14      0.615526      0.300887     -0.314639      0.702158
      0.230044      0.324014      0.016435     0.0241973     0.0419363   0.000855619    -0.0946292  -1.05583e-13      0.459124      0.199358     -0.259766      0.596757
      0.216638      0.304868     0.0165293     0.0254257     0.0442484   0.000919681    -0.0896588  -1.07134e-13      0.424565      0.167684      -0.25688      0.549011
      0.195546      0.274673     0.0166023      0.027492     0.0479148    0.00103145    -0.0798175  -3.16273e-13      0.379401      0.141934     -0.237468       0.49589
      0.205617      0.288985     0.0175219     0.0271599     0.0481117    0.00104468    -0.0710934   1.32609e-13      0.442507      0.181497      -0.26101      0.524786
      0.186955      0.262223     0.0179235     0.0286777     0.0503357    0.00114366    -0.0579734   4.45873e-13       0.41664      0.171938     -0.244702      0.499943
      0.203624       0.28565     0.0202867      0.030292     0.0527344    0.00132915    -0.0472311   2.12713e-13      0.513652      0.223211     -0.290441      0.587192
      0.216669      0.303733     0.0233687     0.0330321     0.0575483    0.00163722    -0.0359973  -7.26547e-14      0.623073      0.281786     -0.341287      0.687561
      0.224318      0.314025     0.0264538     0.0364131      0.062361    0.00202571    -0.0263579    3.3635e-13      0.714534      0.327224      -0.38731      0.769257
      0.228728      0.319717     0.0293026     0.0394368     0.0660807    0.00241391    -0.0140522  -2.79742e-13      0.790348      0.376408      -0.41394      0.835033
      0.233844      0.326329     0.0323228     0.0427791     0.0698994    0.00287481   -0.00208314  -9.85408e-13      0.862161      0.416065     -0.446096      0.899592
      0.247565      0.345176     0.0360232     0.0461855     0.0742714    0.00343077    0.00854246  -6.93116e-14      0.973116       0.47086     -0.502256       1.00764
      0.237406      0.330997     0.0340017     0.0448088      0.071879    0.00316395    0.00823753  -1.19688e-14      0.897233      0.436326     -0.460907      0.927659
      0.227256      0.316693     0.0323277     0.0441696     0.0704936    0.00299604    0.00891303   8.81929e-14      0.831006      0.405379     -0.425626      0.860147
      0.233095      0.324656     0.0339832      0.045938     0.0726309    0.00326516     0.0132461   -1.1901e-14      0.880988       0.43105     -0.449938      0.906002
      0.228468      0.318146     0.0332277     0.0455488      0.071875    0.00317878      0.013641  -8.98871e-14      0.850218      0.417372     -0.432846      0.873579
      0.223771      0.311524     0.0324729     0.0452289     0.0712005    0.00310014     0.0140379  -1.07777e-13      0.819204      0.402864      -0.41634       0.84183
